targetCategory,targetType,targetModelIdentifier,modelIdentifierType,enrollmentMode,logicalName,nodeFdn,wantedSecurityLevel,minimumSecurityLevel,userLabel,subjectAltNameFormat,subjectAltNameValue,ipsecAreas,expectedHttpStatus,additionalTestInfo,expectedHttpResponse
NODE,ERBS,"19.Q3-J.4.50",OSS_IDENTIFIER,CMPv2_INITIAL,LTEiscfERBS00102,"NetworkElement=LTEiscfERBS00102",LEVEL_2,LEVEL_2,userLabel_LTEiscfERBS00102,IPV6,192.168.103.252,"TRANSPORT,OM",400," - Verify Combo ISCF is NOT generated when a [wrong subjectAltNameFormat 'IPV6'- expected 'IPV4'] is provided for CPP ERBS node","subjectAltNameData is not valid IPv6 address"

NODE,ERBS,"19.Q3-J.4.50",OSS_IDENTIFIER,CMPv2_INITIAL,LTEiscfERBS00102,"NetworkElement=LTEiscfERBS00102",LEVEL_2,LEVEL_2,userLabel_LTEiscfERBS00102,IPV4,"2001:0db8:85a3:0000:1319:8a2e:0370:7344","TRANSPORT,OM",400," - Verify Combined ISCF is NOT generated when a [wrong subjectAltNameValue 'IPV6'- expected 'IPV4'] is provided for CPP ERBS node","subjectAltNameData is not valid IPv4 address"

NODE,ERBS,"19.Q3-J.4.50",OSS_IDENTIFIER,CMPv2_INITIAL,LTEiscfERBS00102,"NetworkElement=LTEiscfERBS00102",LEVEL_2,LEVEL_2,userLabel_LTEiscfERBS00102,IPV4,,"TRANSPORT,OM",400," - Verify Combined ISCF is NOT generated when a [null subjectAltNameValue] is provided for CPP ERBS node","Wrong subjectAltNameData[null]"

#### NODE,ERBS,"19.Q3-J.4.50",OSS_IDENTIFIER,CMPv2_INITIAL,LTEiscfERBS00102,"NetworkElement=LTEiscfERBS00102",LEVEL_2,LEVEL_2,userLabel_LTEiscfERBS00102,,192.168.103.252,"TRANSPORT,OM",400," - Verify Combined ISCF is NOT generated when a [null IPV4 subjectAltNameFormat] is provided for CPP ERBS node","Internal error: No enum constant com.ericsson.nms.security.nscs.api.iscf.SubjectAltNameFormat"


##### conventions for negative tests:
# do not remove or change the label fields
#
###### Test with <Blank> String :
#      Put the label <blank> - without double quote - in the field value to # be tested.
#
#
###### Test with <null> field :
#      Remove the field value to be tested.
#
# a library specific method  will create the body Json to provide to the REST POST request accordingly
#
